what do you think?,player_name,trade_date,season,trade_type,from_team,to_team,num_teams,position_group,is_pitcher,age_at_trade,contract_status,years_control_remaining,salary_m,aav_m,war_yr0,g_yr0,war_yr1,g_yr1,war_yr2,g_yr2,war_yr3,g_yr3,war_peak,covid_yr,wWAR,war_trend,trend_label,yr0_rate,avail_pct,avail_grade,peak_gap,key_pieces,return_summary,return_tier,return_prospect_grades,notes
T295,Carlos Carrasco,8/1/2025,2025,deadline,NYY,ATL,2,SP,1,38,rental,0,1.5,1.5,-0.2,8,0.13,21,-0.27,20,2.51,29,1.3,,0.59,-0.46,stable,,0.778,C,0.71,PTBNL or Cash,The Yankees received only cash considerations in return for Carrasco. No prospects or MLB players were included .� a pure salary/depth dump of a veteran on a minor league deal who had been outrighted to Triple-A earlier in 2025.,1,CASH,"Carrasco signed a minor league deal with NYY in Feb 2025, earned a MLB contract ($1.5M) after strong spring training, posted a 5.91 ERA in 8 MLB games before being DFA'd and outrighted to Triple-A. Trade announced July 28, 2025 (before the July 31 deadline). Braves acquired him due to Grant Holmes going down with elbow inflammation. ATL subsequently DFA'd Carrasco before the deadline passed. 2024 season with Cleveland: 3-10, 5.64 ERA in 21 starts before being DFA'd. WAR for 2024 not surfaced in available sources."
T126,Jake Bird,7/31/2025,2025,deadline,COL,NYY,2,RP,1,29,pre-arb,4,0.77,0.77,0.5,45,-0.34,35,1.47,70,-0.3,38,0.8,,0.27,-0.61,stable,0.72,0.733,C,0.53,"Roc Riggio, Ben Shields","Colorado received Yankees infield prospect Roc Riggio (Yankees' #10 org prospect per MLB Pipeline at time of trade, Double-A infielder with plus raw power) and LHP Ben Shields (Yankees' #28 org prospect, non-drafted free agent with quick rise through system). Neither was ranked in national top-100 lists at the time of the trade.",3,"P5, P6","Trade deadline move July 31, 2025. Bird had posted a 4.73 ERA in 45 relief appearances for COL in 2025 before the deal. He struggled immediately with NYY (7 ER in first 2 IP across 3 appearances) and was optioned to Triple-A within 5 days. Bird entered 2025 on a pre-arb salary of $770K; with 3.051 years service as of Jan 2026 he was headed into arb1, giving NYY ~4 years of control. Riggio hit .261/.335/.542 in Double-A Somerset in 2025 with strong power but contact concerns; Shields was an undrafted FA out of UMass/George Mason who rose quickly."
T296,Adrian Houser,8/1/2025,2025,deadline,CWS,TBR,2,SP,1,32,rental,0,1.35,1.35,2.9,11,-0.14,23,1.73,23,1.03,22,2.9,,0.78,-0.92,stable,7.91,0.756,C,2.12,"Curtis Mean, Duncan Davitt, Benjamin Peoples","CWS received infielder Curtis Mead (formerly a top-55 national prospect, now an established but struggling MLB player at .238/.307/.322 over 111 career games) plus two low-level RHP prospects Duncan Davitt (back-end SP profile, fringe org depth) and Ben Peoples (BA grade 45/High, fringy control).",4,"MLB-depth, P6, P6","Trade occurred July 31, 2025 at the deadline. Houser was a pure rental .� signed a one-year $1.35M MLB deal with CWS in May 2025 after starting the year at Triple-A Round Rock. He went 6-2, 2.10 ERA over 11 starts with CWS before the deal. Mead was the headliner but had exhausted his prospect status and posted weak MLB numbers. Houser signed a 2-year/$22M deal with the San Francisco Giants after the 2025 season, validating his trade value. Davitt features low-90s FB touching 97 with deep secondaries and solid command; Peoples has a 93-95 mph FB with fringe-average control."
T127,Kyle Finnegan,8/1/2025,2025,deadline,WSN,DET,2,RP,1,33,rental,0,6,6,0.3,40,-0.02,65,0.27,67,0.59,66,1,,0.23,-0.25,stable,0.49,1.015,A+,0.77,"Josh Randall, RJ Sales","Washington received two Detroit pitching prospects: Josh Randall (Tigers' ~#15-20 org prospect, 3rd-round pick 2024, Double-A arm with a sinking fastball/slider combo) and RJ Sales (unranked, 10th-round pick 2024, Low-A). Neither player appeared on national top-100 lists at the time of the trade.",3,"P5, P6","Trade deadline deal on July 31, 2025. Finnegan was in the final year of a 1-year $6M deal signed after being non-tendered by Washington in December 2024 (projected arb salary had been ~$8.6M). Contract had $4M deferred ($2M payable Jan 2027, $2M payable Jan 2029); Tigers assumed prorated portion (~1/3) of each deferred payment. Finnegan is a Detroit native, making it a homecoming. He subsequently re-signed with Detroit on a 2-year, $19M deal in December 2025."
T128,Alex Cobb,7/30/2024,2024,deadline,SFG,CLE,2,SP,1,36,rental,0,10,10,,,,,,,-0.01,18,3.7,,-0.01,,,,0.111,F,3.71,"Jacob Bresnahan, PTBNL","The Giants received LHP Jacob Bresnahan (Giants org #11 at time of arrival, 13th-round pick in 2023) and INF Nate Furman (PTBNL, 4th-round pick in 2022, Giants org #39) .� two minor-league prospects without national top-100 standing.",3,"P5, P6","Trade deadline deal (7/30/2024). Cobb was on the final year of a $10M club option exercised by SFG after a 2yr/$20M deal signed in December 2021. He had missed time with injuries early in 2024 before being dealt. Furman was named as the PTBNL on August 26, 2024. Cobb appeared in only 3 games for Cleveland after the trade. Neither prospect was a national top-100 name at time of trade."
T129,Brandon Lockridge,7/30/2024,2024,deadline,SDP,NYY,2,OF,0,27,pre-arb,6,0.74,0.74,-0.2,47,0,12,,,,,0.3,,0,0,stable,-0.69,0.074,F,0.3,"Enyel De Los Santos, Thomas Balboni Jr","The Padres acquired outfielder Brandon Lockridge from the Yankees .� a speedster who led the International League in stolen bases (34 SB in 38 attempts) in 2024. In exchange, San Diego sent MLB reliever Enyel De Los Santos and minor league sidearm reliever Thomas Balboni Jr. to New York.",3,P5,"Trade direction in source data appears reversed: Lockridge actually moved FROM NYY TO SDP (not SDP to NYY). SDP gave up MLB reliever Enyel De Los Santos (4.46 ERA in 40.1 IP with SDP in 2024) and 15th-round minor league arm Thomas Balboni Jr. to acquire Lockridge. Lockridge made his MLB debut with the Padres in September 2024, then was traded to Milwaukee in July 2025. He is a 5-tool speed/OBP profile OF with minimal MLB service time at trade date (MLB debut came post-trade). Pre-arb salary estimated at ~$740K based on 2026 Spotrac data showing $783K; he had no MLB service time prior to the trade."
T130,Martin Perez,7/30/2024,2024,deadline,PIT,SDP,2,SP,1,33,rental,0,8,8,-0.1,16,0.5,35,3.87,32,0.4,36,5.1,,1.6,-1.1,declining,-0.19,1.144,A+,3.5,Ronaldys Jimenez,"Pittsburgh received DSL left-hander Ronaldys Jimenez, an 18-year-old from the Dominican Republic in his pro debut (1.50 ERA, 6 IP, 8 K in DSL). The Pirates also paid roughly $1.3M of Perez's remaining salary to facilitate the deal.",2,P6,Perez was on a one-year $8M deal (rental). Pittsburgh covered ~$1.3M of his remaining ~$2.5M salary to get Jimenez back. Perez posted a 5.20 ERA / 4.94 FIP in 16 starts with PIT before the trade. Widely regarded as a disappointing return at the deadline. Jimenez was unranked nationally and not in Padres top-50 at time of trade.
T131,Luis Garcia,7/30/2024,2024,deadline,LAA,BOS,2,RP,1,37,rental,0,4.25,4.25,0.3,45,0.2,61,0.3,64,0.4,34,0.4,,0.28,-0.08,stable,0.43,0.815,B,0.12,"Ryan Zeferjahn, Matthew Lugo, Yeferson Vargas, Niko Kavadas","LAA received four prospects from Boston: Matthew Lugo (BOS org #17-20, INF/OF at Triple-A), Ryan Zeferjahn (RHP, Double-A/Triple-A), Niko Kavadas (INF, Triple-A), and Yeferson Vargas (RHP, Low-A/DSL). None were national top-100 prospects; Lugo was the clear headliner as a fringe org top-5 piece.",3,"P4, P6, P6, P6","Garcia signed a 1-year $4.25M free agent deal with LAA in December 2023, making this a pure rental. He posted a strong first half (1.15 ERA since June 15 before trade). Trade deadline July 30, 2024. Lugo is the nephew of Carlos Beltran; had bounced back in 2024 (.315/.1.069 OPS at Double-A before Triple-A promotion) but was not a national top-100 prospect. Widely criticized as a weak return for a reliever with a sub-1.20 ERA over the prior 6 weeks."
T132,Gregory Soto,7/30/2024,2024,deadline,PHI,BAL,2,RP,1,29,arb3,1,5,5,0.4,43,0.91,69,0.56,64,0.4,62,1.4,,0.67,0.24,stable,0.6,1,A+,0.73,"Seth Johnson, Moises Chace","PHI received RHP Seth Johnson (BAL org #8 per MLB Pipeline, Tommy John surgery returnee with mid-90s fastball, Double-A starter) and RHP Moisés Chace (lower-level org depth arm). Neither was a national top-100 prospect at the time of the trade.",3,"P5, P6",Trade deadline deal on 7/30/2024. Soto was struggling in PHI (4.08 ERA in 43 games). He was in his final arbitration year (2024 one-year $5M deal); BAL then re-signed him for 2025 at $5.35M before he elected FA after 2025. Seth Johnson was recovering from Tommy John surgery and never appeared on national top-100 lists. Chace was raw org depth. Soto was an All-Star-caliber arm (2022 Tigers All-Star) but had been inconsistent with PHI.
T133,Kevin Kiermaier,7/30/2024,2024,deadline,TOR,LAD,2,OF,0,34,rental,0,10.5,10.5,0.8,82,2.67,129,1.1,63,2.81,122,3.8,,2.18,0.49,stable,1.58,0.646,D,1.62,Ryan Yarbrough,Toronto received LHP Ryan Yarbrough (established MLB depth starter/reliever) and cash considerations. Yarbrough had been with the Dodgers in 2023-24 and went on to post a 2.01 ERA in 12 appearances for Toronto down the stretch.,2,MLB-depth,"Kiermaier had publicly announced his retirement before the trade, making this effectively a goodwill move to give him a World Series shot. He signed a 1-year $10.5M deal with Toronto before the season. The Dodgers also sent cash considerations. Kiermaier hit .195/.236/.310 in 81 games for Toronto but remained an elite defender (97th percentile outs above average). He won the 2024 World Series with LAD and retired afterward."
T134,Mark Canha,7/30/2024,2024,deadline,DET,SFG,2,OF,0,35,rental,0,11.5,11.5,0.5,93,1.73,139,2.5,140,2.7,141,2.7,,2.23,-0.5,stable,0.87,0.864,B,0.47,Eric Silva,"Detroit received RHP Eric Silva, a 21-year-old Double-A reliever who ranked roughly 25th-41st in the Giants' org but did not appear on any national top-100 list. Silva had posted a 4.35 ERA across 28 relief appearances at Double-A Richmond in 2024.",2,P6,"Canha was a pure two-month rental .� final year of his $11.5M club option, becoming a free agent after 2024. He had spent his first seven MLB seasons with Oakland so the Giants were a Bay Area homecoming. Detroit ate the remaining salary. Silva was a former Giants org arm with a disappointing 2023 (5.92 ERA) who had tumbled from their top-15 to outside their top-25 by mid-2024."
T135,Dylan Floro,7/30/2024,2024,deadline,WSN,ARI,2,RP,1,33,rental,0,2.25,2.25,1.6,51,1.19,62,0.8,56,1.5,68,1.5,,1.14,0.05,stable,2.04,0.954,A,0.36,Andres Chaparro,"The Nationals received Triple-A infielder Andres Chaparro, who was not ranked among the Diamondbacks' top 30 prospects. Chaparro was a 25-year-old corner infielder at Triple-A Reno hitting .332/.403/.564 with 19 HRs in 95 games, but was considered an organizational depth piece rather than a legitimate prospect.",2,P6,Note: player name in trade record is 'Dylan Florio' but the actual player is Dylan Floro (Baseball Reference ID: florody01). One-year $2.25M deal signed December 2023 made him a rental at the deadline. Floro posted a career-best 2.06 ERA in 51 appearances with WSN before the trade. Diamondbacks released him in September 2024. Chaparro debuted with the Nationals in August 2024 and was not a top-30 caliber prospect.
T136,Austin Slater + Livan Soto,7/30/2024,2024,deadline,CIN,BAL,2,OF,0,31,rental,0,4,4,,,,,,,1.49,129,0,,1.49,,,,0.796,C,-1.49,PTBNL or Cash,The Reds received only cash considerations from Baltimore. No prospects or MLB players were included; this was a pure salary-relief/cash deal as Cincinnati offloaded a veteran outfielder acquired just three weeks earlier from San Francisco.,1,CASH,"Slater was a deadline rental in his final arb year (arb3), hitting .185/.308/.222 at time of trade. CIN had acquired him from SF on July 7 for Alex Young, then flipped him to BAL July 30 for cash. Livan Soto (24-year-old infield depth, 1 MLB game in 2024) was included as a throw-in. Slater became a free agent after 2024 and signed with the White Sox for $1.75M in 2025. Return was initially reported as cash or PTBNL, confirmed as cash only."
T137,Dylan Carlson,7/30/2024,2024,deadline,STL,TBR,2,OF,0,25,arb1,2,2.35,2.35,-0.9,59,0.08,76,1.8,128,2.39,149,3.2,,1.23,-1.15,declining,-2.47,0.726,C,1.97,Shawn Armstrong,"STL received veteran RHP reliever Shawn Armstrong (33) plus approximately $98K in cash. Armstrong was a rental bullpen depth piece posting a 5.40 ERA in 38 appearances for Tampa Bay in 2024, becoming a free agent after the season.",2,MLB-depth,"Classic salary-dump/change-of-scenery trade at the July 30, 2024 deadline. Carlson was struggling badly (.198/.275/.240 in 59 games) and had lost his starting role. STL included ~$98K cash. Carlson still had arb2 and arb3 years remaining (2025-2026) but the Cardinals moved on. Armstrong was used as bullpen depth for STL's stretch run and became a free agent after the season."
T138,Tanner Banks,7/30/2024,2024,deadline,CWS,PHI,2,RP,1,32,pre-arb,3,0.74,0.74,-0.1,41,0.08,32,0.4,35,,,0.7,,0.22,-0.14,stable,-0.16,0.515,D,0.48,William Bergolla,"CWS received SS prospect William Bergolla, rated the No. 10 prospect in the Phillies system by Baseball America and No. 11 by MLB.com at the time of the trade. Bergolla, 19, was hitting .295/.350/.385 across 67 games at High-A Jersey Shore.",4,P5,"Trade deadline deal (7/30/2024). Banks was a lefty reliever in his third MLB season (2.092 years of service time), making near-minimum salary as a pre-arb player. Bergolla is a switch-hitting SS with high contact but limited power, considered a solid organizational piece rather than a national top-100 prospect."
T139,Eloy Jimenez,7/30/2024,2024,deadline,CWS,BAL,2,OF,0,27,opt-out,0,13,13,-0.6,65,0.5,120,1.9,84,0.7,55,1.9,,1.02,-0.52,stable,-1.5,0.533,F,0.88,Trey McGough,"CWS received LHP Trey McGough, a fringe org reliever (AA/AAA, not nationally ranked) who was the top left-handed reliever in the White Sox system, plus cash considerations covering a significant portion of Jimenez's remaining 2024 salary. This was primarily a salary dump.",2,"P5, CASH",Jimenez was in the final guaranteed year of his 6-year/$43M deal; the 2025 club option ($16.5M) was later declined by BAL with a $3M buyout (CWS covered half). CWS ate most of the $13M 2024 salary to move him. McGough had a 1.99 ERA across AA/AAA in 2024 but had no national prospect standing. Jimenez hit .240/.297/.345 with a .642 OPS in 65 games for CWS before the trade.
T140,Huascar Brazoban,7/30/2024,2024,deadline,MIA,MYN,2,RP,1,34,pre-arb,4,0.753,0.753,0.3,20,0.5,50,0.03,27,,,1.1,,0.29,0.21,stable,0.97,0.592,D,0.81,Wilfredo Lara,"Miami received minor league infielder Wilfredo Lara, the Mets' 22nd-ranked organizational prospect (20-year-old in High-A Brooklyn), with no MLB players or nationally ranked prospects included.",2,P6,"Trade deadline deal July 30, 2024. Brazoban had strong 2024 first half (2.93 ERA, 34 K in 30.2 IP). Under team control through 2028 at time of trade (~2 years service time, pre-arb). Lara was a fringe org-depth infielder not on any national top-100 list. Brazoban avoided arbitration with Mets for 2026 at $1.05M."
T141,Bryan De La Cruz,7/30/2024,2024,deadline,MIA,PIT,2,OF,0,27,pre-arb,3,0.74,0.74,0.1,105,-0.7,153,0.7,115,0.9,58,0.9,,0.17,-0.87,stable,0.15,0.671,D,0.73,"Jun-Seok Shim, Garret Forrester","Miami received two Pittsburgh prospects: RHP Jun-Seok Shim (Pirates' #17 prospect per MLB Pipeline, a South Korean righty with a 95 mph fastball but sidelined by shoulder injury) and INF/C Garret Forrester (Pirates' #18 prospect, 2023 third-round pick with strong walk rates but unproven at the professional level). A modest return widely characterized as the Pirates 'hardly giving up anything.'",3,"P5, P6","Trade deadline deal on 7/30/2024 as part of Marlins fire sale. De La Cruz had not yet completed 3 full years of service time at trade date, entering arb eligibility after the 2024 season. Pirates non-tendered him after the season rather than pay a projected $4M arb salary. Shim had injury concerns (shoulder) limiting him to just 8 official innings entering the deal. De La Cruz signed a 1-year $860K deal with Atlanta Braves in November 2024."
T142,Typer Zuber,7/30/2024,2024,deadline,TBR,NYM,2,RP,1,29,pre-arb,4,0.72,0.72,,,,,,,,,0,,,,,,,,,Paul Gervase,"TBR received RHP Paul Gervase, a 24-year-old Double-A reliever (6'10"") who was a fringe Mets top-30 prospect. Gervase had elite strikeout numbers but severe command issues (42 BB in 57 IP in 2023), limiting his prospect ceiling.",2,P6,"Tyler Zuber was on a minor league deal with Tampa Bay and was selected to the roster before being dealt. He debuted in 2020 with KC and had 2.157 years of MLB service as of Jan 2026, confirming pre-arb status at time of trade. This was a depth swap of two fringe relievers at the 2024 trade deadline (July 30, 2024). Gervase eventually debuted in MLB with Tampa Bay in June 2025 and was later traded to the Dodgers."
T143,Trevor Richards,7/30/2024,2024,deadline,TOR,MIN,2,RP,1,31,rental,0,2.15,2.15,-0.4,45,0.4,56,0.13,62,0.25,53,0.9,,0.27,0.13,stable,-0.58,0.877,B,0.63,Jay Harry,"Toronto received minor league infielder Jay Harry (6th round, 2023 draft), a Single-A middle infielder ranked around 25th in the Twins organization with no national prospect ranking. A low-value return for a veteran reliever in his walk year.",2,P6,"Richards was a deadline salary dump .� he had 5.084 years of MLB service time entering 2024, making this his final year of arbitration control before free agency. He had a strong first half (2.44 ERA through July 3) but cratered in his final 8 appearances before the trade, allowing 15 runs. Jay Harry was a contact-oriented 2023 6th-round pick out of Single-A, not ranked nationally. Richards subsequently played for the Twins in 2024 and later signed with other clubs."
T144,Andrew Chafin,7/30/2024,2024,deadline,DET,TEX,2,RP,1,34,rental,0,4.25,4.25,0.5,41,0.47,63,0.92,64,1.4,71,2.9,,0.85,-0.38,stable,0.79,1.015,A+,2.05,"Joseph Montalvo, Chase Lee","Detroit received two RHP pitching prospects from Texas: Joseph Montalvo, a 22-year-old converted shortstop ranked 27th in the Rangers system with a 2.44 ERA and 73 Ks in 59 innings at High-A Hickory, and Chase Lee, a 25-year-old sidearm reliever at Triple-A who had missed significant time with a hip labrum tear.",2,"P5, P6","Trade deadline deal (7/30/2024). Chafin was on a one-year, $4.25M contract with a $6.5M club option for 2025 ($500K buyout); TEX declined the option after the season. Chafin posted a 3.51 ERA combined between DET/TEX in 2024. He subsequently signed a minor league deal with Detroit in 2025. Chase Lee had a significant hip labrum injury history and limited Triple-A track record (10.2 IP). Neither prospect ranked in any national top-100 list at the time of the trade."
T145,Isiah Kiner-Falefa,7/30/2024,2024,deadline,TOR,PIT,2,SS,0,29,signed,1,7.5,7.5,3.1,83,0.52,113,1.45,142,1.61,158,3.9,,1.1,-0.58,stable,6.05,0.85,B,2.8,Charles McAdoo,"Toronto received Charles McAdoo, a toolsy utility infielder/outfielder who had been rising through the Pirates system at High-A and Double-A in 2024. McAdoo was not a national top-100 prospect at the time but ranked inside Pittsburgh's top 15 and graded as a solid org piece with plus athleticism and contact ability.",3,P5,"IKF was traded despite having one full year (2025) remaining on his 2-year $15M deal signed before 2024; the Blue Jays absorbed salary relief and were in sell mode at the deadline. IKF was dealing with a knee sprain at trade time and began a rehab assignment before the deal was finalized. Pittsburgh subsequently DFA'd IKF in August 2025 and Toronto reclaimed him off waivers. McAdoo was later promoted to the Blue Jays' MLB roster, making the return look reasonably favorable for Toronto given the low cost."
T146,Paul Blackburn,7/30/2024,2024,deadline,OAK,NYM,2,SP,1,30,arb3,1,3.45,3.45,0.7,9,1.6,21,0.78,21,-0.06,9,1.6,,0.91,0.69,stable,,0.567,D,0.69,Kade Morris,"Oakland received RHP Kade Morris, a 22-year-old 2023 third-round pick (slot $666,500) who was the Mets' 25th-ranked prospect per MLB.com at the time of trade, posting a 3.51 ERA across Single-A and High-A.",3,P5,"Trade deadline deal (July 30, 2024), roughly two hours before the 6 PM ET deadline. Blackburn was a rental in his final arb year before free agency after 2025; he was returning from a stress reaction that cost him nearly 11 weeks. Mets needed rotation depth after injuries to Christian Scott (UCL) and Kodai Senga (calf). Blackburn was tendered by the Mets after 2024 for the 2025 arb year, then placed on release waivers in August 2025. Kade Morris subsequently climbed to the A's top-15 prospect list."
T147,JT Chargois,7/30/2024,2024,deadline,MIA,SEA,2,RP,1,33,arb2,1,1.285,1.285,0.5,15,0.41,46,-0.04,3,0.33,56,1.5,,0.24,0.17,stable,2.17,0.538,D,1.26,Will Schomberg,"MIA received RHP minor leaguer Will Schomberg, a 23-year-old undrafted free agent from 2023 who posted a 2.83 ERA across Single-A and High-A in 2024 but ranked outside FanGraphs' top 34 prospects in the Mariners system.",2,P6,"Trade deadline deal (July 30, 2024, final hours). Chargois began 2024 on IL with neck spasms, debuted mid-June. Strong ERA (1.62) since return but poor underlying metrics (4.74 SIERA, 5.21 xERA). Schomberg was an undrafted FA signing from July 2023, praised for elite breaking ball spin but not ranked among Mariners top 34 per FanGraphs. Chargois was non-tendered by Seattle after the 2024 season."
T148,Paul DeJong,7/30/2024,2024,deadline,CWS,KCR,2,SS,0,30,rental,0,1.75,1.75,0.2,102,0.5,112,0.3,77,1.5,113,1.5,,0.68,-0.18,stable,0.32,0.621,D,0.82,Jarold Rosado,"CWS received Single-A reliever Jarold Rosado, a 21-year-old Dominican right-hander who posted a 1.85 ERA in 27 appearances for Class A Columbia in 2024. Rosado was not nationally ranked at the time of the trade and was considered org depth.",2,P6,"DeJong signed a 1-year/$1.75M deal with CWS for 2024 after the Cardinals declined their option and Toronto bought him out as well. He was a pure rental with no team control remaining. Rosado showed promise after arriving in the White Sox system, reaching High-A and posting a 2.11 ERA with 68 Ks in 55.1 IP, landing at #45 on South Side Sox org rankings in early 2025. Trade occurred mid-series between AL Central rivals on July 30, 2024 deadline."
T149,Lucas Erceg,7/30/2024,2024,deadline,OAK,KCR,2,RP,1,29,pre-arb,5,0.75,0.75,0.5,38,1.2,61,0,50,,,1.2,,0.67,0.53,stable,0.86,0.854,B,0.53,"Mason barnett, Will Klien, Jared Dickey","Oakland received three Royals prospects: RHP Mason Barnett (KCR's #4 prospect, Auburn 3rd-round pick from 2022 draft, SP profile), RHP Will Klein (KCR #16-18 prospect, MLB-ready reliever who had already debuted), and OF Jared Dickey (KCR #19-20 prospect, 2023 5th-round pick). None of the three were national top-100 prospects at the time of the trade.",4,"P4, P5, P5","Trade deadline deal on July 30, 2024. Erceg was a high-leverage setup man averaging 98.8 mph, posting 3.68 ERA in 36.2 IP with 41 Ks in 2024. Won't reach arb until 2027 and free agency until 2030 .� Oakland moved a controllable asset for org depth. Barnett is the headliner, a starting pitching prospect with a four-pitch mix sitting 94-95 mph, but was a fringe rather than national top-100 arm. Klein was MLB-ready but relief-only. Dickey was a sum-of-parts OF with no standout tool."
T150,Caleb Ferguson,7/30/2024,2024,deadline,NYY,HOU,2,RP,1,28,rental,0,2.4,2.4,-0.7,42,1.34,68,0.7,37,,,0.7,,1.06,0.28,stable,-1.08,0.808,B,-0.36,Kelly Austin,"NYY received RHP Kelly Austin, an undrafted free agent out of UCLA working in the low minors with a 2.21 ERA across 36.2 IP, plus $750K in international bonus pool space. Austin was not ranked among top national or organizational prospects at the time.",2,"P6, CASH","Ferguson was in the final year of his arb deal ($2.4M, arb3) and a pending free agent, making him a pure rental. He had a poor 5.13 ERA in 42 appearances for NYY in 2024. Originally acquired from LAD in Feb 2024. The Yankees cleared a bullpen roster spot. Ferguson later signed a 1-year/$4.5M deal with the Reds for 2026."
T151,Mike Baumann,7/30/2024,2024,deadline,SFG,LAA,2,RP,1,28,pre-arb,3,0.74,0.74,-0.4,57,,60,,13,,4,0.4,,0.12,-0.02,stable,-0.46,0.395,F,0.28,Cash,"The Giants received only cash considerations from the Angels in exchange for Baumann. He had appeared in just one game for San Francisco after being acquired from Seattle nine days earlier, making this essentially a back-to-back flip for cash.",1,CASH,"Baumann was acquired by SFG from SEA on 7/21/2024 for cash, then immediately flipped to LAA on 7/30/2024 for cash , a pure salary/roster management move at the trade deadline. He was DFA'd by the Angels in August 2024. Had 2.072 years of MLB service time in 2024 (pre-arb). Went on to sign a minor league deal with the Marlins after being released, then pursued an NPB opportunity. Career reliever with 4.68 ERA over 113 MLB games."
T152,Josh Bell,7/30/2024,2024,deadline,MIA,ARI,2,1B,0,31,rental,0,16.5,16.5,-0.6,104,0.42,150,2.11,156,2.16,144,3.1,,1.42,-1,declining,-0.93,0.926,A,1.68,PTBNL,"The Marlins received only cash considerations from the Diamondbacks. Arizona paid approximately $2.25 million of Bell's remaining 2024 salary, with Miami absorbing the rest (~$3M+). No prospects were included.",1,CASH,"Bell was placed on waivers by MIA on July 28, 2024, and the trade to ARI was finalized July 30, 2024, triggered by Christian Walker's oblique injury. Bell's $16.5M player option made him difficult to move .� the deal was essentially salary relief. He was in the final year of his contract (rental) with no team control remaining. After the 2024 season Bell signed elsewhere as a free agent."
T153,Trevor Rogers,7/30/2024,2024,deadline,MIA,BAL,2,SP,1,26,arb2,2,1.53,1.53,1,21,0.3,4,0.89,23,4.26,25,3.5,,1.49,-1.19,declining,1.43,0.578,D,2.01,"Connor Norby, Kyle Stowers","Miami received infielder Connor Norby (Orioles' No. 5 prospect, fringe top-100 nationally) and outfielder Kyle Stowers (org depth outfielder). Norby was the headliner, ranked around No. 86 nationally at the time.",4,"P4, P6","Trade deadline deal July 30, 2024. Rogers was a reclamation target carrying a 4.53 ERA with MIA. He was optioned to Triple-A within three weeks of joining BAL after allowing 16 runs in 19 innings over 4 starts. Gregory Soto was traded separately from MIA to BAL in a different deal around the same deadline. Rogers avoided arbitration with BAL in Jan 2025 ($2.6M) and again in Jan 2026 ($6.2M); FA expected after 2026."
T154,Lucas Sims,7/30/2024,2024,deadline,CIN,BOS,2,RP,1,30,rental,0,2.85,2.85,0.8,43,0.75,67,-0.3,6,1.31,47,1.8,,0.54,0.21,stable,1.21,0.615,C,1.26,Ovis Portes,"The Reds received Ovis Portes, a 19-year-old international signing RHP who had posted a 3.29 ERA across the DSL, FCL, and Low-A Salem. He was ranked #29 in Boston's system by Baseball America at the time of the trade.",2,P6,"Deadline rental deal; Sims was in his final year of arbitration eligibility at $2.85M and hit free agency after 2024. He later signed a $3M/1-year deal with the Washington Nationals in 2025. Portes was a fringe org arm, not ranked by MLB Pipeline, ranked #29 by Baseball America , a low-level lottery ticket return consistent with a rental reliever."
T155,Mark Leiter Jr.,7/30/2024,2024,deadline,CHC,NYY,2,RP,1,33,arb2,2,1.5,1.5,-0.4,39,0.8,69,0.22,35,,,0.9,,0.54,0.26,stable,-0.67,0.8,B,0.36,"Ben Cowles, Jack Neely","The Cubs received two Yankees organizational prospects: RHP Jack Neely (Yankees' No. 22 prospect, a 6'8"" reliever) and INF Ben Cowles (Yankees' No. 29 prospect, a utility infielder with defensive versatility but bat-to-ball concerns). Neither was nationally ranked.",3,"P5, P6","Trade deadline deal (July 30, 2024). Leiter had been excellent in July (7.2 IP, 0 ER, 14 K) before the deal. He struggled with the Yankees post-trade, posting a 4.50+ ERA. Yankees non-tendered him after the 2025 season; he signed a 1-year/$2.85M deal with the Athletics for 2026. Cubs received two low-ceiling org pieces in return for a quality late-inning arm."
T156,Josh Walker,7/30/2024,2024,deadline,NYM,PIT,2,RP,1,29,pre-arb,2,0.74,0.74,,,0,10,-0.5,14,,,0,,-0.22,0.22,stable,,0.185,F,0.22,Nicolas Carreno,"The Mets received Nicolas Carreno, a young left-handed pitcher signed out of Venezuela who was playing in the DSL (rookie ball) at the time of the trade. Carreno had no national prospect ranking and was considered deep organizational filler.",2,P6,"Walker was DFA'd by the Mets before the trade; Pittsburgh acquired him off waivers/trade with no 40-man impact needed. Walker was then DFA'd again by the Pirates shortly after the trade and suffered an undisclosed injury. He re-signed with Pittsburgh on a minor league deal in August 2024, then signed with the Blue Jays for $760K in December 2024. Carreno was a DSL-level arm with a fastball/slider combo and significant control issues (40-grade control per BA); clearly org filler with no top-30 ranking for either club."
